query_image,relevant_image,similarity_type,note
3020160026429-api_xml-0_11.jpg,3020160026429-api_xml-1_12.jpg,easy_positive,같은 출원번호 다른 도면
3020150013148-api_xml-0_000.jpg,3020150013148-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020240005805-api_xml-0_000.jpg,3020240005805-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020210005255-api_xml-0_000.jpg,3020210005255-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020190024056-api_xml-0_000.jpg,3020190024056-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020170030924-api_xml-0_000.jpg,3020170030924-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020160047521-api_xml-0_000.jpg,3020160047521-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020210040243-api_xml-0_000.jpg,3020210040243-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020230033465-api_xml-0_000.jpg,3020230033465-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020210045670-api_xml-0_000.jpg,3020210045670-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020160028389-api_xml-0_000.jpg,3020160028389-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020210030574-api_xml-0_000.jpg,3020210030574-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020180041278-api_xml-0_000.jpg,3020180041278-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020210013926-api_xml-0_000.jpg,3020210013926-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020170060966-api_xml-0_000.jpg,3020170060966-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
