query_image,relevant_image,similarity_type,note
3020250019104-api_xml-0_000.jpg,3020250019104-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020170036338-api_xml-0_000.jpg,3020170036338-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020170010907-api_xml-0_000.jpg,3020170010907-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020150029545-api_xml-0_11.jpg,3020150029545-api_xml-1_12.jpg,easy_positive,같은 출원번호 다른 도면
3020250017783-api_xml-0_000.jpg,3020250017783-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020230007555-api_xml-0_000.jpg,3020230007555-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020110052379-api_xml-0_000.jpg,3020110052379-api_xml-1_000.jpg,easy_positive,같은 출원번호 다른 도면
3020110050623-api_xml-0_000.jpg,3020110050623-api_xml-1_000.jpg,easy_positive,같은 출원번호 다른 도면
3020170006416-api_xml-0_000.jpg,3020170006416-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020170022977-api_xml-0_000.jpg,3020170022977-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020110039567-api_xml-0_000.jpg,3020110039567-api_xml-1_000.jpg,easy_positive,같은 출원번호 다른 도면
3020230006460-api_xml-0_000.jpg,3020230006460-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020180013923-api_xml-0_000.jpg,3020180013923-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020100037257-api_xml-0_000.jpg,3020100037257-api_xml-1_000.jpg,easy_positive,같은 출원번호 다른 도면
3020140037690-api_xml-0_11.jpg,3020140037690-api_xml-1_12.jpg,easy_positive,같은 출원번호 다른 도면
3020140019370-api_xml-0_000.jpg,3020140019370-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020160026429-api_xml-0_11.jpg,3020160026429-api_xml-1_12.jpg,easy_positive,같은 출원번호 다른 도면
3020240005805-api_xml-0_000.jpg,3020240005805-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020190024056-api_xml-0_000.jpg,3020190024056-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020160047521-api_xml-0_000.jpg,3020160047521-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020210040243-api_xml-0_000.jpg,3020210040243-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020210045670-api_xml-0_000.jpg,3020210045670-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면
3020170060966-api_xml-0_000.jpg,3020170060966-api_xml-1_001.jpg,easy_positive,같은 출원번호 다른 도면

